ticker,cluster,price,shares,dollar_allocation,actual_weight,target_weight,hrp,equal_weight,rebalance_date,primary_method
AMGN,1,387.6400146484375,93,36050.52136230469,0.1442034279849816,0.14413391003664094,0.14793679419883296,0.1,2026-07-31,markowitz_gmv
COST,2,954.1699829101562,41,39120.969299316406,0.15648533407773163,0.15510556776380163,0.17708954282204423,0.1,2026-07-31,markowitz_gmv
EXC,3,45.58000183105469,1036,47220.881896972656,0.18888528611232536,0.1889920046693278,0.19354420364796768,0.1,2026-07-31,markowitz_gmv
BKR,4,59.900001525878906,395,23660.500602722168,0.09464288353734748,0.09471269120898058,0.08432013469866831,0.1,2026-07-31,markowitz_gmv
WBD,5,25.469999313354492,294,7488.179798126221,0.029952998055300696,0.030000000000000002,0.034666188131315535,0.1,2026-07-31,markowitz_gmv
PDD,6,87.44000244140625,271,23696.240661621094,0.0947858451039172,0.09487076986216361,0.08620779871476834,0.1,2026-07-31,markowitz_gmv
LRCX,7,297.7200012207031,27,8038.440032958984,0.03215405948654189,0.031823226490773446,0.03743859447293812,0.1,2026-07-31,markowitz_gmv
ALNY,8,205.47999572753906,96,19726.07958984375,0.07890505296642947,0.07932717769534044,0.0674477489296599,0.1,2026-07-31,markowitz_gmv
APP,9,403.8699951171875,18,7269.659912109375,0.029078910373465792,0.030000000000000002,0.01197543896795891,0.1,2026-07-31,markowitz_gmv
EA,10,209.58999633789062,180,37726.19934082031,0.1509062023019589,0.15103465227297153,0.159373555415846,0.1,2026-07-31,markowitz_gmv
